Asset ID,Road ID,Road Name,Road Authority,Rural/Urban,Road Classification,Road Priority,status,start,end,Locality,length_m,width_m,Area (m2),Condition Ratings,Year of Construction,Comment,OBJECTID (GIS),Road Number (GIS),Asset ID  (GIS),gis_status
23,9693,Atherton Drive 01,Crown,Urban,Local,79,Sealed,0,160,Urunga,160,6.7,1072,1,#N/A,,22,9693,100027,Mutiple Chainage
23,9693,Atherton Drive 02,Crown,Urban,Local,79,Sealed,160,900,Urunga,740,6.5,4810,1,#N/A,,22,9693,100027,Mutiple Chainage
23,9693,Atherton Drive 03,Crown,Urban,Local,79,Sealed,900,1050,Urunga,150,7.3,1095,4,#N/A,,22,9693,100027,Mutiple Chainage
23,9693,Atherton Drive 04,Crown,Urban,Local,79,Sealed,1050,1274.709477,Urunga,224.7094768,7.3,1640.379181,2,#N/A,,22,9693,100027,Mutiple Chainage
44,9698,Bailey Street 01,BSC,Urban,Local,92,Sealed,0,260,Repton,260,6,1560,3,2019,,24,9698,100029,Mutiple Chainage
44,9698,Bailey Street 02,BSC,Urban,Local,92,Sealed,260,302.6966349,Repton,42.69663486,6,256.1798092,1,2019,,24,9698,100029,Mutiple Chainage
73,9699,Baker Street 01,BSC,Urban,Local,105,Sealed,0,300,Fernmount,300,4.8,1440,4,2014,,25,9699,100030,Mutiple Chainage
73,9699,Baker Street 02,BSC,Urban,Local,105,Sealed,300,350,Fernmount,50,4.8,240,3,2014,,25,9699,100030,Mutiple Chainage
73,9699,Baker Street 03,BSC,Urban,Local,105,Sealed,350,375.0572482,Fernmount,25.05724816,4.8,120.2747912,3,2014,,25,9699,100030,Mutiple Chainage
317,10087,Balcomb Lane 01,BSC,Urban,Local,105,Sealed,0,60,Bellingen,60,3,180,3,2008,,274,10087,100369,Mutiple Chainage
317,10087,Balcomb Lane 02,BSC,Urban,Local,105,Unsealed,60,90,Bellingen,30,3,90,3,2008,,274,10087,100369,Mutiple Chainage
317,10087,Balcomb Lane 03,BSC,Urban,Local,105,Sealed,90,139.508954,Bellingen,49.50895398,3,148.5268619,3,2008,,274,10087,100369,Mutiple Chainage
34,9700,Ballards Road 01,BSC,Rural,Local,91,Sealed,0,c,Valla,360,3.6,1296,1,2016,,423,9700,100031,Mutiple Chainage
34,9700,Ballards Road 02,BSC,Rural,Local,91,Sealed,360,870,Valla,510,3.6,1836,3,2016,,423,9700,100031,Mutiple Chainage
34,9700,Ballards Road 03,BSC,Rural,Local,91,Unsealed,870,2934.441456,Valla,2064.441456,3.6,7431.989241,2,2016,,423,9700,100031,Mutiple Chainage
244,9707,Beaumonts Road 01,BSC,Rural,Local,100,Sealed,0,1220,Deer Vale,1220,3.7,4514,2,2009,,32,9707,100038,Mutiple Chainage
244,9707,Beaumonts Road 02,BSC,Rural,Local,100,Unsealed,1220,2486.462671,Deer Vale,1266.462671,3.7,4685.911881,2,2016,,32,9707,100038,Mutiple Chainage
217,9710,Bellingen Street 01,BSC,Urban,Local,22,Sealed,0,270,Urunga,270,9.4,2538,2,1985,,35,9710,100041,Mutiple Chainage
217,9710,Bellingen Street 02,BSC,Urban,Local,22,Sealed,270,420,Urunga,150,9.7,1455,1,1996,,35,9710,100041,Mutiple Chainage
217,9710,Bellingen Street 03,BSC,Urban,Local,22,Sealed,420,1265.944579,Urunga,845.9445785,9.1,7698.095664,1,2009,,35,9710,100041,Mutiple Chainage
426,9711,Bennetts Road 01,BSC,Rural,Local,121,Sealed,0,770,Bielsdown Hills,770,3,2310,2,1985,,424,9711,100042,Mutiple Chainage
426,9711,Bennetts Road 02,BSC,Rural,Local,121,Unsealed,770,1562.746122,Bielsdown Hills,792.7461223,3,2378.238367,2,2012,,424,9711,100042,Mutiple Chainage
431,9714,Billings Road 01,BSC,Rural,Local,115,Sealed,0,160,Dorrigo,160,3,480,1,2004,,425,9714,100046,Mutiple Chainage
431,9714,Billings Road 02,BSC,Rural,Local,115,Unsealed,160,2892.170093,Dorrigo,2732.170093,3,8196.51028,1,2004,,425,9714,100046,Mutiple Chainage
